borough,hour,total_crimes
(null),00,256
BRONX,00,83112
BROOKLYN,00,124324
MANHATTAN,00,90476
QUEENS,00,81125
STATEN ISLAND,00,18849
(null),01,162
BRONX,01,59427
BROOKLYN,01,82187
MANHATTAN,01,67857
QUEENS,01,56552
STATEN ISLAND,01,12465
(null),02,171
BRONX,02,46120
BROOKLYN,02,65176
MANHATTAN,02,58034
QUEENS,02,46994
STATEN ISLAND,02,10014
(null),03,127
BRONX,03,38060
BROOKLYN,03,53313
MANHATTAN,03,50133
QUEENS,03,41848
STATEN ISLAND,03,7877
(null),04,101
BRONX,04,33607
BROOKLYN,04,44965
MANHATTAN,04,41913
QUEENS,04,39902
STATEN ISLAND,04,6160
(null),05,62
BRONX,05,26803
BROOKLYN,05,34887
MANHATTAN,05,26381
QUEENS,05,28041
STATEN ISLAND,05,4640
(null),06,79
BRONX,06,28230
BROOKLYN,06,38654
MANHATTAN,06,25379
QUEENS,06,28399
STATEN ISLAND,06,5194
(null),07,102
BRONX,07,39125
BROOKLYN,07,53811
MANHATTAN,07,37771
QUEENS,07,39816
STATEN ISLAND,07,8262
(null),08,220
BRONX,08,60199
BROOKLYN,08,87660
MANHATTAN,08,64765
QUEENS,08,59673
STATEN ISLAND,08,13839
(null),09,272
BRONX,09,64579
BROOKLYN,09,93766
MANHATTAN,09,77345
QUEENS,09,64163
STATEN ISLAND,09,14753
(null),10,334
BRONX,10,67573
BROOKLYN,10,98431
MANHATTAN,10,80005
QUEENS,10,67822
STATEN ISLAND,10,16554
(null),11,320
BRONX,11,72013
BROOKLYN,11,99955
MANHATTAN,11,84604
QUEENS,11,66176
STATEN ISLAND,11,16002
(null),12,464
BRONX,12,90246
BROOKLYN,12,135762
MANHATTAN,12,119651
QUEENS,12,98192
STATEN ISLAND,12,24519
(null),13,426
BRONX,13,84596
BROOKLYN,13,115010
MANHATTAN,13,105550
QUEENS,13,74658
STATEN ISLAND,13,18563
(null),14,417
BRONX,14,96196
BROOKLYN,14,128279
MANHATTAN,14,115717
QUEENS,14,84479
STATEN ISLAND,14,20781
(null),15,449
BRONX,15,109810
BROOKLYN,15,144976
MANHATTAN,15,128772
QUEENS,15,95452
STATEN ISLAND,15,22652
(null),16,420
BRONX,16,105771
BROOKLYN,16,138644
MANHATTAN,16,126957
QUEENS,16,90341
STATEN ISLAND,16,21129
(null),17,391
BRONX,17,106640
BROOKLYN,17,140243
MANHATTAN,17,126061
QUEENS,17,92190
STATEN ISLAND,17,21459
(null),18,391
BRONX,18,109792
BROOKLYN,18,143020
MANHATTAN,18,123195
QUEENS,18,95101
STATEN ISLAND,18,22191
(null),19,361
BRONX,19,107946
BROOKLYN,19,138655
MANHATTAN,19,113239
QUEENS,19,91251
STATEN ISLAND,19,21187
(null),20,395
BRONX,20,106292
BROOKLYN,20,140377
MANHATTAN,20,103388
QUEENS,20,93076
STATEN ISLAND,20,22040
(null),21,306
BRONX,21,97418
BROOKLYN,21,128686
MANHATTAN,21,89088
QUEENS,21,85604
STATEN ISLAND,21,19262
(null),22,317
BRONX,22,91609
BROOKLYN,22,120575
MANHATTAN,22,81756
QUEENS,22,81722
STATEN ISLAND,22,19083
(null),23,246
BRONX,23,81684
BROOKLYN,23,110017
MANHATTAN,23,78123
QUEENS,23,74621
STATEN ISLAND,23,17158
